seqnames	start	end	chromatin
ch00	1	100000	Heterochromatin
ch00	100001	200000	Heterochromatin
ch00	200001	300000	Heterochromatin
ch00	300001	400000	Heterochromatin
ch00	400001	500000	Heterochromatin
ch00	500001	600000	Heterochromatin
ch00	600001	700000	Heterochromatin
ch00	700001	800000	Heterochromatin
ch00	800001	900000	Heterochromatin
ch00	900001	1000000	Heterochromatin
ch00	1000001	1100000	Heterochromatin
ch00	1100001	1200000	Heterochromatin
ch00	1200001	1300000	Heterochromatin
ch00	1300001	1400000	Heterochromatin
ch00	1400001	1500000	Heterochromatin
ch00	1500001	1600000	Heterochromatin
ch00	1600001	1700000	Heterochromatin
ch00	1700001	1800000	Heterochromatin
ch00	1800001	1900000	Heterochromatin
ch00	1900001	2000000	Heterochromatin
ch00	2000001	2100000	Heterochromatin
ch00	2100001	2200000	Heterochromatin
ch00	2200001	2300000	Heterochromatin
ch00	2300001	2400000	Heterochromatin
ch00	2400001	2500000	Heterochromatin
ch00	2500001	2600000	Heterochromatin
ch00	2600001	2700000	Heterochromatin
ch00	2700001	2800000	Heterochromatin
ch00	2800001	2900000	Heterochromatin
ch00	2900001	3000000	Heterochromatin
ch00	3000001	3100000	Heterochromatin
ch00	3100001	3200000	Heterochromatin
ch00	3200001	3300000	Heterochromatin
ch00	3300001	3400000	Heterochromatin
ch00	3400001	3500000	Heterochromatin
ch00	3500001	3600000	Heterochromatin
ch00	3600001	3700000	Heterochromatin
ch00	3700001	3800000	Heterochromatin
ch00	3800001	3900000	Heterochromatin
ch00	3900001	4000000	Heterochromatin
ch00	4000001	4100000	Heterochromatin
ch00	4100001	4200000	Heterochromatin
ch00	4200001	4300000	Heterochromatin
ch00	4300001	4400000	Heterochromatin
ch00	4400001	4500000	Heterochromatin
ch00	4500001	4600000	Heterochromatin
ch00	4600001	4700000	Heterochromatin
ch00	4700001	4800000	Heterochromatin
ch00	4800001	4900000	Heterochromatin
ch00	4900001	5000000	Heterochromatin
ch00	5000001	5100000	Heterochromatin
ch00	5100001	5200000	Heterochromatin
ch00	5200001	5300000	Heterochromatin
ch00	5300001	5400000	Heterochromatin
ch00	5400001	5500000	Heterochromatin
ch00	5500001	5600000	Heterochromatin
ch00	5600001	5700000	Heterochromatin
ch00	5700001	5800000	Heterochromatin
ch00	5800001	5900000	Heterochromatin
ch00	5900001	6000000	Heterochromatin
ch00	6000001	6100000	Heterochromatin
ch00	6100001	6200000	Heterochromatin
ch00	6200001	6300000	Heterochromatin
ch00	6300001	6400000	Heterochromatin
ch00	6400001	6500000	Heterochromatin
ch00	6500001	6600000	Heterochromatin
ch00	6600001	6700000	Heterochromatin
ch00	6700001	6800000	Heterochromatin
ch00	6800001	6900000	Heterochromatin
ch00	6900001	7000000	Heterochromatin
ch00	7000001	7100000	Heterochromatin
ch00	7100001	7200000	Heterochromatin
ch00	7200001	7300000	Heterochromatin
ch00	7300001	7400000	Heterochromatin
ch00	7400001	7500000	Heterochromatin
ch00	7500001	7600000	Heterochromatin
ch00	7600001	7700000	Heterochromatin
ch00	7700001	7800000	Heterochromatin
ch00	7800001	7900000	Heterochromatin
ch00	7900001	8000000	Heterochromatin
ch00	8000001	8100000	Heterochromatin
ch00	8100001	8200000	Heterochromatin
ch00	8200001	8300000	Heterochromatin
ch00	8300001	8400000	Heterochromatin
ch00	8400001	8500000	Heterochromatin
ch00	8500001	8600000	Heterochromatin
ch00	8600001	8700000	Heterochromatin
ch00	8700001	8800000	Heterochromatin
ch00	8800001	8900000	Heterochromatin
ch00	8900001	9000000	Heterochromatin
ch00	9000001	9100000	Heterochromatin
ch00	9100001	9200000	Heterochromatin
ch00	9200001	9300000	Heterochromatin
ch00	9300001	9400000	Heterochromatin
ch00	9400001	9500000	Heterochromatin
ch00	9500001	9600000	Heterochromatin
ch00	9600001	9643250	Heterochromatin
ch01	1	100000	Euchromatin
ch01	100001	200000	Euchromatin
ch01	200001	300000	Euchromatin
ch01	300001	400000	Euchromatin
ch01	400001	500000	Euchromatin
ch01	500001	600000	Euchromatin
ch01	600001	700000	Euchromatin
ch01	700001	800000	Euchromatin
ch01	800001	900000	Euchromatin
ch01	900001	1000000	Euchromatin
ch01	1000001	1100000	Euchromatin
ch01	1100001	1200000	Euchromatin
ch01	1200001	1300000	Euchromatin
ch01	1300001	1400000	Euchromatin
ch01	1400001	1500000	Euchromatin
ch01	1500001	1600000	Euchromatin
ch01	1600001	1700000	Euchromatin
ch01	1700001	1800000	Euchromatin
ch01	1800001	1900000	Euchromatin
ch01	1900001	2000000	Euchromatin
ch01	2000001	2100000	Euchromatin
ch01	2100001	2200000	Euchromatin
ch01	2200001	2300000	Euchromatin
ch01	2300001	2400000	Euchromatin
ch01	2400001	2500000	Euchromatin
ch01	2500001	2600000	Euchromatin
ch01	2600001	2700000	Euchromatin
ch01	2700001	2800000	Euchromatin
ch01	2800001	2900000	Euchromatin
ch01	2900001	3000000	Euchromatin
ch01	3000001	3100000	Euchromatin
ch01	3100001	3200000	Euchromatin
ch01	3200001	3300000	Euchromatin
ch01	3300001	3400000	Heterochromatin
ch01	3400001	3500000	Heterochromatin
ch01	3500001	3600000	Heterochromatin
ch01	3600001	3700000	Heterochromatin
ch01	3700001	3800000	Heterochromatin
ch01	3800001	3900000	Heterochromatin
ch01	3900001	4000000	Heterochromatin
ch01	4000001	4100000	Heterochromatin
ch01	4100001	4200000	Heterochromatin
ch01	4200001	4300000	Heterochromatin
ch01	4300001	4400000	Heterochromatin
ch01	4400001	4500000	Heterochromatin
ch01	4500001	4600000	Heterochromatin
ch01	4600001	4700000	Heterochromatin
ch01	4700001	4800000	Heterochromatin
ch01	4800001	4900000	Heterochromatin
ch01	4900001	5000000	Heterochromatin
ch01	5000001	5100000	Heterochromatin
ch01	5100001	5200000	Heterochromatin
ch01	5200001	5300000	Heterochromatin
ch01	5300001	5400000	Heterochromatin
ch01	5400001	5500000	Heterochromatin
ch01	5500001	5600000	Heterochromatin
ch01	5600001	5700000	Heterochromatin
ch01	5700001	5800000	Heterochromatin
ch01	5800001	5900000	Heterochromatin
ch01	5900001	6000000	Heterochromatin
ch01	6000001	6100000	Heterochromatin
ch01	6100001	6200000	Heterochromatin
ch01	6200001	6300000	Heterochromatin
ch01	6300001	6400000	Heterochromatin
ch01	6400001	6500000	Heterochromatin
ch01	6500001	6600000	Heterochromatin
ch01	6600001	6700000	Heterochromatin
ch01	6700001	6800000	Heterochromatin
ch01	6800001	6900000	Heterochromatin
ch01	6900001	7000000	Heterochromatin
ch01	7000001	7100000	Heterochromatin
ch01	7100001	7200000	Heterochromatin
ch01	7200001	7300000	Heterochromatin
ch01	7300001	7400000	Heterochromatin
ch01	7400001	7500000	Heterochromatin
ch01	7500001	7600000	Heterochromatin
ch01	7600001	7700000	Heterochromatin
ch01	7700001	7800000	Heterochromatin
ch01	7800001	7900000	Heterochromatin
ch01	7900001	8000000	Heterochromatin
ch01	8000001	8100000	Heterochromatin
ch01	8100001	8200000	Heterochromatin
ch01	8200001	8300000	Heterochromatin
ch01	8300001	8400000	Heterochromatin
ch01	8400001	8500000	Heterochromatin
ch01	8500001	8600000	Heterochromatin
ch01	8600001	8700000	Heterochromatin
ch01	8700001	8800000	Heterochromatin
ch01	8800001	8900000	Heterochromatin
ch01	8900001	9000000	Heterochromatin
ch01	9000001	9100000	Heterochromatin
ch01	9100001	9200000	Heterochromatin
ch01	9200001	9300000	Heterochromatin
ch01	9300001	9400000	Heterochromatin
ch01	9400001	9500000	Heterochromatin
ch01	9500001	9600000	Heterochromatin
ch01	9600001	9700000	Heterochromatin
ch01	9700001	9800000	Heterochromatin
ch01	9800001	9900000	Heterochromatin
ch01	9900001	10000000	Heterochromatin
ch01	10000001	10100000	Heterochromatin
ch01	10100001	10200000	Heterochromatin
ch01	10200001	10300000	Heterochromatin
ch01	10300001	10400000	Heterochromatin
ch01	10400001	10500000	Heterochromatin
ch01	10500001	10600000	Heterochromatin
ch01	10600001	10700000	Heterochromatin
ch01	10700001	10800000	Heterochromatin
ch01	10800001	10900000	Heterochromatin
ch01	10900001	11000000	Heterochromatin
ch01	11000001	11100000	Heterochromatin
ch01	11100001	11200000	Heterochromatin
ch01	11200001	11300000	Heterochromatin
ch01	11300001	11400000	Heterochromatin
ch01	11400001	11500000	Heterochromatin
ch01	11500001	11600000	Heterochromatin
ch01	11600001	11700000	Heterochromatin
ch01	11700001	11800000	Heterochromatin
ch01	11800001	11900000	Heterochromatin
ch01	11900001	12000000	Heterochromatin
ch01	12000001	12100000	Heterochromatin
ch01	12100001	12200000	Heterochromatin
ch01	12200001	12300000	Heterochromatin
ch01	12300001	12400000	Heterochromatin
ch01	12400001	12500000	Heterochromatin
ch01	12500001	12600000	Heterochromatin
ch01	12600001	12700000	Heterochromatin
ch01	12700001	12800000	Heterochromatin
ch01	12800001	12900000	Heterochromatin
ch01	12900001	13000000	Heterochromatin
ch01	13000001	13100000	Heterochromatin
ch01	13100001	13200000	Heterochromatin
ch01	13200001	13300000	Heterochromatin
ch01	13300001	13400000	Heterochromatin
ch01	13400001	13500000	Heterochromatin
ch01	13500001	13600000	Heterochromatin
ch01	13600001	13700000	Heterochromatin
ch01	13700001	13800000	Heterochromatin
ch01	13800001	13900000	Heterochromatin
ch01	13900001	14000000	Heterochromatin
ch01	14000001	14100000	Heterochromatin
ch01	14100001	14200000	Heterochromatin
ch01	14200001	14300000	Heterochromatin
ch01	14300001	14400000	Heterochromatin
ch01	14400001	14500000	Heterochromatin
ch01	14500001	14600000	Heterochromatin
ch01	14600001	14700000	Heterochromatin
ch01	14700001	14800000	Heterochromatin
ch01	14800001	14900000	Heterochromatin
ch01	14900001	15000000	Heterochromatin
ch01	15000001	15100000	Heterochromatin
ch01	15100001	15200000	Heterochromatin
ch01	15200001	15300000	Heterochromatin
ch01	15300001	15400000	Heterochromatin
ch01	15400001	15500000	Heterochromatin
ch01	15500001	15600000	Heterochromatin
ch01	15600001	15700000	Heterochromatin
ch01	15700001	15800000	Heterochromatin
ch01	15800001	15900000	Heterochromatin
ch01	15900001	16000000	Heterochromatin
ch01	16000001	16100000	Heterochromatin
ch01	16100001	16200000	Heterochromatin
ch01	16200001	16300000	Heterochromatin
ch01	16300001	16400000	Heterochromatin
ch01	16400001	16500000	Heterochromatin
ch01	16500001	16600000	Heterochromatin
ch01	16600001	16700000	Heterochromatin
ch01	16700001	16800000	Heterochromatin
ch01	16800001	16900000	Heterochromatin
ch01	16900001	17000000	Heterochromatin
ch01	17000001	17100000	Heterochromatin
ch01	17100001	17200000	Heterochromatin
ch01	17200001	17300000	Heterochromatin
ch01	17300001	17400000	Heterochromatin
ch01	17400001	17500000	Heterochromatin
ch01	17500001	17600000	Heterochromatin
ch01	17600001	17700000	Heterochromatin
ch01	17700001	17800000	Heterochromatin
ch01	17800001	17900000	Heterochromatin
ch01	17900001	18000000	Heterochromatin
ch01	18000001	18100000	Heterochromatin
ch01	18100001	18200000	Heterochromatin
ch01	18200001	18300000	Heterochromatin
ch01	18300001	18400000	Heterochromatin
ch01	18400001	18500000	Heterochromatin
ch01	18500001	18600000	Heterochromatin
ch01	18600001	18700000	Heterochromatin
ch01	18700001	18800000	Heterochromatin
ch01	18800001	18900000	Heterochromatin
ch01	18900001	19000000	Heterochromatin
ch01	19000001	19100000	Heterochromatin
ch01	19100001	19200000	Heterochromatin
ch01	19200001	19300000	Heterochromatin
ch01	19300001	19400000	Heterochromatin
ch01	19400001	19500000	Heterochromatin
ch01	19500001	19600000	Heterochromatin
ch01	19600001	19700000	Heterochromatin
ch01	19700001	19800000	Heterochromatin
ch01	19800001	19900000	Heterochromatin
ch01	19900001	20000000	Heterochromatin
ch01	20000001	20100000	Heterochromatin
ch01	20100001	20200000	Heterochromatin
ch01	20200001	20300000	Heterochromatin
ch01	20300001	20400000	Heterochromatin
ch01	20400001	20500000	Heterochromatin
ch01	20500001	20600000	Heterochromatin
ch01	20600001	20700000	Heterochromatin
ch01	20700001	20800000	Heterochromatin
ch01	20800001	20900000	Heterochromatin
