readsN	context	count	sample
0	CG	36610	wt
0	CHG	38517	wt
0	CHH	248619	wt
1	CG	29277	wt
1	CHG	27849	wt
1	CHH	205708	wt
2	CG	52579	wt
2	CHG	49565	wt
2	CHH	380304	wt
3	CG	81842	wt
3	CHG	80217	wt
3	CHH	626484	wt
4	CG	113457	wt
4	CHG	114337	wt
4	CHH	894943	wt
5	CG	139592	wt
5	CHG	144286	wt
5	CHH	1124136	wt
6	CG	154877	wt
6	CHG	166503	wt
6	CHH	1280768	wt
7	CG	161124	wt
7	CHG	178162	wt
7	CHH	1338949	wt
8	CG	156689	wt
8	CHG	177408	wt
8	CHH	1300227	wt
9	CG	144001	wt
9	CHG	166865	wt
9	CHH	1189797	wt
10	CG	126357	wt
10	CHG	148808	wt
10	CHH	1026893	wt
11	CG	105164	wt
11	CHG	125858	wt
11	CHH	844780	wt
12	CG	84108	wt
12	CHG	101207	wt
12	CHH	664976	wt
13	CG	64274	wt
13	CHG	78153	wt
13	CHH	500881	wt
14	CG	47686	wt
14	CHG	58674	wt
14	CHH	364398	wt
15	CG	33452	wt
15	CHG	41476	wt
15	CHH	255109	wt
16	CG	23924	wt
16	CHG	29212	wt
16	CHH	174722	wt
17	CG	15632	wt
17	CHG	19497	wt
17	CHH	115782	wt
18	CG	10518	wt
18	CHG	12603	wt
18	CHH	74411	wt
19	CG	6719	wt
19	CHG	8269	wt
19	CHH	47763	wt
20	CG	4438	wt
20	CHG	5223	wt
20	CHH	29451	wt
21	CG	2758	wt
21	CHG	3219	wt
21	CHH	18122	wt
22	CG	1815	wt
22	CHG	2015	wt
22	CHH	11080	wt
23	CG	1210	wt
23	CHG	1227	wt
23	CHH	6799	wt
24	CG	763	wt
24	CHG	832	wt
24	CHH	4532	wt
25	CG	551	wt
25	CHG	486	wt
25	CHH	2983	wt
26	CG	380	wt
26	CHG	331	wt
26	CHH	1801	wt
27	CG	325	wt
27	CHG	273	wt
27	CHH	1310	wt
28	CG	220	wt
28	CHG	169	wt
28	CHH	897	wt
29	CG	168	wt
29	CHG	120	wt
29	CHH	741	wt
30	CG	150	wt
30	CHG	96	wt
30	CHH	576	wt
31	CG	135	wt
31	CHG	76	wt
31	CHH	422	wt
32	CG	75	wt
32	CHG	53	wt
32	CHH	330	wt
33	CG	64	wt
33	CHG	49	wt
33	CHH	233	wt
34	CG	64	wt
34	CHG	33	wt
34	CHH	194	wt
35	CG	42	wt
35	CHG	32	wt
35	CHH	172	wt
36	CG	44	wt
36	CHG	28	wt
36	CHH	134	wt
37	CG	39	wt
37	CHG	21	wt
37	CHH	124	wt
38	CG	28	wt
38	CHG	16	wt
38	CHH	90	wt
39	CG	21	wt
39	CHG	16	wt
39	CHH	59	wt
40	CG	25	wt
40	CHG	10	wt
40	CHH	61	wt
41	CG	16	wt
41	CHG	9	wt
41	CHH	53	wt
42	CG	13	wt
42	CHG	13	wt
42	CHH	44	wt
43	CG	8	wt
43	CHG	11	wt
43	CHH	50	wt
44	CG	15	wt
44	CHG	6	wt
44	CHH	49	wt
45	CG	7	wt
45	CHG	8	wt
45	CHH	52	wt
46	CG	16	wt
46	CHG	11	wt
46	CHH	49	wt
47	CG	14	wt
47	CHG	8	wt
47	CHH	41	wt
48	CG	13	wt
48	CHG	13	wt
48	CHH	24	wt
49	CG	8	wt
49	CHG	8	wt
49	CHH	36	wt
50	CG	6	wt
50	CHG	5	wt
50	CHH	26	wt
51	CG	4	wt
51	CHG	5	wt
51	CHH	17	wt
52	CG	3	wt
52	CHG	3	wt
52	CHH	14	wt
53	CG	3	wt
53	CHG	3	wt
53	CHH	16	wt
54	CG	4	wt
54	CHG	2	wt
54	CHH	11	wt
55	CG	3	wt
55	CHH	7	wt
56	CG	4	wt
56	CHG	3	wt
56	CHH	3	wt
57	CG	2	wt
57	CHH	3	wt
58	CG	3	wt
58	CHH	5	wt
59	CG	2	wt
59	CHG	1	wt
59	CHH	6	wt
60	CG	1	wt
60	CHG	3	wt
60	CHH	9	wt
61	CG	1	wt
61	CHG	3	wt
61	CHH	19	wt
62	CG	1	wt
62	CHH	11	wt
63	CHH	7	wt
64	CG	2	wt
64	CHH	4	wt
65	CG	3	wt
65	CHG	3	wt
65	CHH	9	wt
66	CG	1	wt
66	CHG	1	wt
66	CHH	2	wt
67	CG	2	wt
67	CHH	2	wt
68	CG	1	wt
68	CHG	1	wt
68	CHH	9	wt
69	CG	3	wt
69	CHG	1	wt
69	CHH	2	wt
70	CHG	1	wt
70	CHH	2	wt
71	CG	2	wt
71	CHG	1	wt
71	CHH	4	wt
72	CHG	1	wt
72	CHH	7	wt
73	CHH	3	wt
74	CG	1	wt
74	CHG	2	wt
74	CHH	9	wt
75	CG	1	wt
75	CHG	1	wt
75	CHH	1	wt
76	CG	1	wt
76	CHH	2	wt
77	CHH	1	wt
78	CG	1	wt
78	CHH	1	wt
79	CHG	1	wt
79	CHH	3	wt
80	CHG	1	wt
80	CHH	4	wt
81	CHH	3	wt
82	CHG	1	wt
82	CHH	1	wt
83	CG	1	wt
84	CG	2	wt
84	CHG	2	wt
85	CG	1	wt
85	CHH	2	wt
86	CG	2	wt
86	CHH	1	wt
87	CG	1	wt
87	CHG	1	wt
87	CHH	1	wt
88	CHG	1	wt
88	CHH	7	wt
89	CHG	1	wt
89	CHH	2	wt
90	CG	3	wt
90	CHG	2	wt
90	CHH	3	wt
91	CG	1	wt
91	CHG	1	wt
91	CHH	4	wt
92	CHH	2	wt
93	CG	1	wt
93	CHG	2	wt
93	CHH	6	wt
94	CG	2	wt
95	CHH	9	wt
96	CHH	6	wt
97	CG	1	wt
97	CHG	1	wt
97	CHH	6	wt
98	CG	1	wt
98	CHG	1	wt
98	CHH	3	wt
99	CHH	2	wt
100	CG	1	wt
100	CHH	1	wt
101	CG	1	wt
101	CHH	2	wt
103	CHH	1	wt
104	CHG	1	wt
104	CHH	2	wt
105	CG	1	wt
105	CHH	4	wt
106	CG	1	wt
107	CHG	1	wt
0	CG	133466	a4
0	CHG	130379	a4
0	CHH	856517	a4
1	CG	224413	a4
1	CHG	224547	a4
1	CHH	1539783	a4
2	CG	288942	a4
2	CHG	304738	a4
2	CHH	2166001	a4
3	CG	286767	a4
