sample	context	min_prop	size	regionType	DMRs	length
a17	CG	0.1	10	gain	1	50
a17	CG	0.1	10	loss	17	960
a17	CG	0.1	20	gain	44	3020
a17	CG	0.1	20	loss	547	35760
a17	CG	0.1	50	gain	937	56600
a17	CG	0.1	50	loss	8004	533950
a17	CG	0.1	100	gain	1214	138100
a17	CG	0.1	100	loss	11394	1537400
a17	CG	0.1	200	gain	1270	275200
a17	CG	0.1	200	loss	12864	3538868
a17	CG	0.1	500	gain	835	444000
a17	CG	0.1	500	loss	9848	7589168
a17	CG	0.1	1000	gain	512	547000
a17	CG	0.1	1000	loss	6063	9927668
a17	CG	0.1	2000	gain	201	416000
a17	CG	0.1	2000	loss	2838	9475337
a17	CG	0.1	5000	gain	25	125000
a17	CG	0.1	5000	loss	905	6832336
a17	CG	0.2	10	gain	2	100
a17	CG	0.2	10	loss	26	1470
a17	CG	0.2	20	gain	63	4240
a17	CG	0.2	20	loss	687	45260
a17	CG	0.2	50	gain	1082	66400
a17	CG	0.2	50	loss	9322	626300
a17	CG	0.2	100	gain	1243	141300
a17	CG	0.2	100	loss	11418	1545200
a17	CG	0.2	200	gain	1017	219800
a17	CG	0.2	200	loss	9944	2622668
a17	CG	0.2	500	gain	370	189000
a17	CG	0.2	500	loss	4575	2894000
a17	CG	0.2	1000	gain	96	98000
a17	CG	0.2	1000	loss	1648	1906000
a17	CG	0.2	2000	gain	9	18000
a17	CG	0.2	2000	loss	389	818000
a17	CG	0.2	5000	loss	19	105000
a17	CG	0.30000000000000004	10	gain	5	250
a17	CG	0.30000000000000004	10	loss	26	1490
a17	CG	0.30000000000000004	20	gain	68	4520
a17	CG	0.30000000000000004	20	loss	697	45780
a17	CG	0.30000000000000004	50	gain	762	49250
a17	CG	0.30000000000000004	50	loss	7287	498500
a17	CG	0.30000000000000004	100	gain	769	87800
a17	CG	0.30000000000000004	100	loss	7694	1026400
a17	CG	0.30000000000000004	200	gain	546	116400
a17	CG	0.30000000000000004	200	loss	5565	1374468
a17	CG	0.30000000000000004	500	gain	126	65000
a17	CG	0.30000000000000004	500	loss	1698	974500
a17	CG	0.30000000000000004	1000	gain	20	20000
a17	CG	0.30000000000000004	1000	loss	373	396000
a17	CG	0.30000000000000004	2000	gain	1	2000
a17	CG	0.30000000000000004	2000	loss	51	102000
a17	CG	0.30000000000000004	5000	loss	2	10000
a17	CG	0.4	10	gain	1	50
a17	CG	0.4	10	loss	23	1320
a17	CG	0.4	20	gain	50	3320
a17	CG	0.4	20	loss	575	37640
a17	CG	0.4	50	gain	431	29850
a17	CG	0.4	50	loss	4341	305950
a17	CG	0.4	100	gain	415	48300
a17	CG	0.4	100	loss	4164	554900
a17	CG	0.4	200	gain	264	55800
a17	CG	0.4	200	loss	2631	632200
a17	CG	0.4	500	gain	49	24500
a17	CG	0.4	500	loss	700	388000
a17	CG	0.4	1000	gain	5	5000
a17	CG	0.4	1000	loss	108	113000
a17	CG	0.4	2000	loss	8	16000
a17	CG	0.4	5000	loss	1	5000
a17	CG	0.5	10	gain	1	50
a17	CG	0.5	10	loss	17	950
a17	CG	0.5	20	gain	29	1940
a17	CG	0.5	20	loss	424	27880
a17	CG	0.5	50	gain	225	16150
a17	CG	0.5	50	loss	2199	166350
a17	CG	0.5	100	gain	198	23300
a17	CG	0.5	100	loss	1917	262800
a17	CG	0.5	200	gain	129	26800
a17	CG	0.5	200	loss	1171	286000
a17	CG	0.5	500	gain	16	8000
a17	CG	0.5	500	loss	268	150000
a17	CG	0.5	1000	gain	1	1000
a17	CG	0.5	1000	loss	36	39000
a17	CG	0.5	2000	loss	4	8000
a17	CG	0.5	5000	loss	1	5000
a17	CG	0.6	10	gain	1	50
a17	CG	0.6	10	loss	10	550
a17	CG	0.6	20	gain	20	1280
a17	CG	0.6	20	loss	288	18680
a17	CG	0.6	50	gain	131	9650
a17	CG	0.6	50	loss	1185	92150
a17	CG	0.6	100	gain	114	13100
a17	CG	0.6	100	loss	943	133000
a17	CG	0.6	200	gain	55	11400
a17	CG	0.6	200	loss	515	127400
a17	CG	0.6	500	gain	5	2500
a17	CG	0.6	500	loss	112	64000
a17	CG	0.6	1000	loss	9	10000
a17	CG	0.6	2000	loss	1	2000
a17	CG	0.7000000000000001	10	gain	1	50
a17	CG	0.7000000000000001	10	loss	6	340
a17	CG	0.7000000000000001	20	gain	10	620
a17	CG	0.7000000000000001	20	loss	161	10460
