sample	context	min_prop	size	regionType	DMRs	length
a17	CG	0.1	10	gain	2	107
a17	CG	0.1	10	loss	21	1244
a17	CG	0.1	20	gain	51	3542
a17	CG	0.1	20	loss	640	41941
a17	CG	0.1	50	gain	158	14828
a17	CG	0.1	50	loss	2106	237804
a17	CG	0.1	100	gain	190	23245
a17	CG	0.1	100	loss	2681	501933
a17	CG	0.1	200	gain	104	17352
a17	CG	0.1	200	loss	1545	444488
a17	CG	0.1	500	gain	7	1379
a17	CG	0.1	500	loss	157	59114
a17	CG	0.1	1000	loss	1	245
a17	CG	0.2	10	gain	2	107
a17	CG	0.2	10	loss	21	1244
a17	CG	0.2	20	gain	51	3542
a17	CG	0.2	20	loss	636	41641
a17	CG	0.2	50	gain	157	14701
a17	CG	0.2	50	loss	2080	234627
a17	CG	0.2	100	gain	190	23065
a17	CG	0.2	100	loss	2624	490301
a17	CG	0.2	200	gain	104	17326
a17	CG	0.2	200	loss	1514	433826
a17	CG	0.2	500	gain	7	1379
a17	CG	0.2	500	loss	157	59114
a17	CG	0.2	1000	loss	1	245
a17	CG	0.30000000000000004	10	gain	2	107
a17	CG	0.30000000000000004	10	loss	20	1191
a17	CG	0.30000000000000004	20	gain	50	3488
a17	CG	0.30000000000000004	20	loss	615	40310
a17	CG	0.30000000000000004	50	gain	151	14100
a17	CG	0.30000000000000004	50	loss	1980	221326
a17	CG	0.30000000000000004	100	gain	184	22187
a17	CG	0.30000000000000004	100	loss	2470	447666
a17	CG	0.30000000000000004	200	gain	103	16928
a17	CG	0.30000000000000004	200	loss	1446	391248
a17	CG	0.30000000000000004	500	gain	7	1379
a17	CG	0.30000000000000004	500	loss	154	55289
a17	CG	0.30000000000000004	1000	loss	1	245
a17	CG	0.4	10	gain	2	107
a17	CG	0.4	10	loss	20	1139
a17	CG	0.4	20	gain	47	3282
a17	CG	0.4	20	loss	556	36427
a17	CG	0.4	50	gain	138	12648
a17	CG	0.4	50	loss	1762	189083
a17	CG	0.4	100	gain	168	19420
a17	CG	0.4	100	loss	2108	356728
a17	CG	0.4	200	gain	97	15176
a17	CG	0.4	200	loss	1292	318796
a17	CG	0.4	500	gain	7	1379
a17	CG	0.4	500	loss	151	52610
a17	CG	0.4	1000	loss	1	245
a17	CG	0.5	10	gain	1	53
a17	CG	0.5	10	loss	16	889
a17	CG	0.5	20	gain	37	2527
a17	CG	0.5	20	loss	444	28955
a17	CG	0.5	50	gain	115	10224
a17	CG	0.5	50	loss	1362	137640
a17	CG	0.5	100	gain	142	15620
a17	CG	0.5	100	loss	1557	244086
a17	CG	0.5	200	gain	87	13044
a17	CG	0.5	200	loss	979	226805
a17	CG	0.5	500	gain	7	1379
a17	CG	0.5	500	loss	147	48713
a17	CG	0.5	1000	loss	1	245
a17	CG	0.6	10	gain	1	51
a17	CG	0.6	10	loss	6	321
a17	CG	0.6	20	gain	27	1761
a17	CG	0.6	20	loss	279	18297
a17	CG	0.6	50	gain	81	7145
a17	CG	0.6	50	loss	862	80574
a17	CG	0.6	100	gain	106	11459
a17	CG	0.6	100	loss	922	136756
a17	CG	0.6	200	gain	64	9583
a17	CG	0.6	200	loss	571	121341
a17	CG	0.6	500	gain	6	1095
a17	CG	0.6	500	loss	120	40518
a17	CG	0.6	1000	loss	1	245
a17	CG	0.7000000000000001	10	loss	4	212
a17	CG	0.7000000000000001	20	gain	13	818
a17	CG	0.7000000000000001	20	loss	142	9052
a17	CG	0.7000000000000001	50	gain	44	3608
a17	CG	0.7000000000000001	50	loss	478	43484
a17	CG	0.7000000000000001	100	gain	55	5594
a17	CG	0.7000000000000001	100	loss	494	67405
a17	CG	0.7000000000000001	200	gain	37	5373
a17	CG	0.7000000000000001	200	loss	278	55137
a17	CG	0.7000000000000001	500	gain	3	467
a17	CG	0.7000000000000001	500	loss	67	19444
a17	CG	0.7000000000000001	1000	loss	1	245
a17	CG	0.8	10	loss	1	55
a17	CG	0.8	20	gain	10	616
a17	CG	0.8	20	loss	74	4725
a17	CG	0.8	50	gain	22	1671
a17	CG	0.8	50	loss	233	20717
a17	CG	0.8	100	gain	25	2215
a17	CG	0.8	100	loss	247	32511
a17	CG	0.8	200	gain	14	1715
a17	CG	0.8	200	loss	132	23461
a17	CG	0.8	500	loss	28	7468
a17	CG	0.9	20	gain	4	235
a17	CG	0.9	20	loss	21	1297
a17	CG	0.9	50	gain	13	1000
a17	CG	0.9	50	loss	68	5449
a17	CG	0.9	100	gain	10	1058
a17	CG	0.9	100	loss	72	8624
a17	CG	0.9	200	gain	8	928
a17	CG	0.9	200	loss	38	6039
a17	CG	0.9	500	loss	8	1717
a17	CHG	0.1	10	gain	21	1372
a17	CHG	0.1	10	loss	271	18040
a17	CHG	0.1	20	gain	17	1096
a17	CHG	0.1	20	loss	581	45648
a17	CHG	0.1	50	gain	25	3276
a17	CHG	0.1	50	loss	1013	140009
a17	CHG	0.1	100	gain	25	2950
a17	CHG	0.1	100	loss	848	194830
a17	CHG	0.1	200	gain	6	633
a17	CHG	0.1	200	loss	396	121592
a17	CHG	0.1	500	loss	29	10051
a17	CHG	0.1	1000	loss	5	3694
a17	CHG	0.1	2000	loss	2	2060
a17	CHG	0.2	10	gain	14	914
a17	CHG	0.2	10	loss	186	12166
a17	CHG	0.2	20	gain	15	977
a17	CHG	0.2	20	loss	573	44979
a17	CHG	0.2	50	gain	24	3101
a17	CHG	0.2	50	loss	1004	138737
