distance	correlation	context	sample
1	0.9093317047223277	CG	wt
2	0.9008280878163947	CG	wt
5	0.8554236171159489	CG	wt
10	0.8570945083701793	CG	wt
20	0.8304875997505939	CG	wt
50	0.7611444321948847	CG	wt
100	0.6984707289618065	CG	wt
200	0.6353869979789252	CG	wt
500	0.46872279190469385	CG	wt
1000	0.3205455955034714	CG	wt
2000	0.24731224520989498	CG	wt
5000	0.20719166576089462	CG	wt
10000	0.1654690684409572	CG	wt
20000	0.1595821296298426	CG	wt
50000	0.1759191817694716	CG	wt
1	0.8549308326687689	CHG	wt
2	0.9306768938130908	CHG	wt
5	0.8204047708034711	CHG	wt
10	0.8160701657537465	CHG	wt
20	0.8255581606140886	CHG	wt
50	0.7909606652538852	CHG	wt
100	0.7682579403324867	CHG	wt
200	0.7629148135888758	CHG	wt
500	0.7234068430289575	CHG	wt
1000	0.6632581535694814	CHG	wt
2000	0.5843759604662493	CHG	wt
5000	0.44131573717797784	CHG	wt
10000	0.3570667368671321	CHG	wt
20000	0.3279289397313465	CHG	wt
50000	0.31777755509995403	CHG	wt
1	0.35033441364742346	CHH	wt
2	0.23307073749686386	CHH	wt
5	0.3181683162992341	CHH	wt
10	0.346582014208442	CHH	wt
20	0.32209640516609717	CHH	wt
50	0.24593758725829615	CHH	wt
100	0.19431786138330762	CHH	wt
200	0.1584059349454123	CHH	wt
500	0.10977805634141552	CHH	wt
1000	0.09242283520452718	CHH	wt
2000	0.0688743583769276	CHH	wt
5000	0.03506076505792453	CHH	wt
10000	0.01962188822642562	CHH	wt
20000	0.014150171303910846	CHH	wt
50000	0.013079617716317722	CHH	wt
1	0.8392439556554899	CG	a4
2	0.8340359072820985	CG	a4
5	0.7607204304639172	CG	a4
10	0.7605906458870202	CG	a4
20	0.7268559594595464	CG	a4
50	0.6572669474757965	CG	a4
100	0.5895177649541042	CG	a4
200	0.55145527360648	CG	a4
500	0.4090442581362837	CG	a4
1000	0.27280914802790024	CG	a4
2000	0.21885796584338815	CG	a4
5000	0.1753480699366849	CG	a4
10000	0.14490212417322568	CG	a4
20000	0.14176177558483458	CG	a4
50000	0.15076344775226447	CG	a4
1	0.7805167142496712	CHG	a4
2	0.8585682138825391	CHG	a4
5	0.7595524013827203	CHG	a4
10	0.759226988013167	CHG	a4
20	0.76546286003303	CHG	a4
50	0.7266562614644614	CHG	a4
100	0.7012766762596992	CHG	a4
200	0.6985032751109174	CHG	a4
500	0.6616017974019235	CHG	a4
1000	0.6063725081058945	CHG	a4
2000	0.5288281626578902	CHG	a4
5000	0.39640157230379486	CHG	a4
10000	0.3218605992674851	CHG	a4
20000	0.2918298189579863	CHG	a4
50000	0.28114998877975794	CHG	a4
1	0.3066542270372769	CHH	a4
2	0.21022809197721135	CHH	a4
5	0.26183762776521213	CHH	a4
10	0.28782011581807393	CHH	a4
20	0.26056690908934615	CHH	a4
50	0.1913196247776486	CHH	a4
100	0.14725961249885017	CHH	a4
200	0.1240583159153486	CHH	a4
500	0.08423962039346772	CHH	a4
1000	0.07050259730726154	CHH	a4
2000	0.052768366212276915	CHH	a4
5000	0.025957558613938243	CHH	a4
10000	0.014044312605768215	CHH	a4
20000	0.011557277898545904	CHH	a4
50000	0.011204193624536627	CHH	a4
1	0.9049951803718582	CG	a17
2	0.8568329639225454	CG	a17
5	0.7872133527638562	CG	a17
10	0.7864386188858047	CG	a17
20	0.7462003236037458	CG	a17
50	0.6499354049430393	CG	a17
100	0.5795180715042024	CG	a17
200	0.5531524415834538	CG	a17
500	0.38817941958350843	CG	a17
1000	0.24833413928849482	CG	a17
2000	0.19093198865928634	CG	a17
5000	0.1519215771977956	CG	a17
10000	0.11850032489118871	CG	a17
20000	0.11406517920152436	CG	a17
50000	0.12292288937451867	CG	a17
1	0.8413441048916745	CHG	a17
2	0.9220609129805785	CHG	a17
5	0.806768757931963	CHG	a17
10	0.7991835501232216	CHG	a17
20	0.8100581414844503	CHG	a17
50	0.7695575007190567	CHG	a17
100	0.7453728209643367	CHG	a17
200	0.7389754429905898	CHG	a17
500	0.6989757318251512	CHG	a17
1000	0.6347889719731197	CHG	a17
2000	0.5591308264490592	CHG	a17
5000	0.40988663559460614	CHG	a17
10000	0.3240395868486317	CHG	a17
20000	0.296152070212027	CHG	a17
50000	0.2844908840666473	CHG	a17
1	0.3490461630954145	CHH	a17
2	0.23565005274070047	CHH	a17
5	0.31983155586160134	CHH	a17
10	0.34808084327108835	CHH	a17
20	0.3248427489691966	CHH	a17
50	0.2462293478123365	CHH	a17
100	0.1957075016682765	CHH	a17
200	0.1638509974663495	CHH	a17
500	0.11504171767937536	CHH	a17
1000	0.09667810276200535	CHH	a17
2000	0.07360378665040153	CHH	a17
5000	0.0365282753599938	CHH	a17
10000	0.01953374991074699	CHH	a17
20000	0.01520277678255704	CHH	a17
50000	0.013974747642154147	CHH	a17
