chr	start	end	context	mR	reads_m	reads_n	sample
Mt	0	100000	CG	2.64161220043573	97	3575	a17_1
Mt	0	100000	CHG	1.81301102026306	51	2762	a17_1
Mt	0	100000	CHH	0.519077433509927	97	18590	a17_1
Mt	100000	200000	CG	8.51648351648352	31	333	a17_1
Mt	100000	200000	CHG	5.69395017793594	16	265	a17_1
Mt	100000	200000	CHH	0.328947368421053	3	909	a17_1
Mt	300000	400000	CG	0	0	533	a17_1
Mt	300000	400000	CHG	0	0	558	a17_1
Mt	300000	400000	CHH	0.103698582786035	3	2890	a17_1
Mt	400000	500000	CG	0	0	22	a17_1
Mt	400000	500000	CHG	0	0	12	a17_1
Mt	400000	500000	CHH	0	0	90	a17_1
Pt	0	100000	CG	0.0716845878136201	1	1394	a17_1
Pt	0	100000	CHG	0.118063754427391	1	846	a17_1
Pt	0	100000	CHH	0.0378167149880247	3	7930	a17_1
Pt	100000	200000	CG	27.2727272727273	6	16	a17_1
Pt	100000	200000	CHG	30.7692307692308	4	9	a17_1
Pt	100000	200000	CHH	3.3195020746888	8	233	a17_1
SL4.0ch00	0	100000	CG	83.8096897873824	9618	1858	a17_1
SL4.0ch00	0	100000	CHG	52.9520125264806	5749	5108	a17_1
SL4.0ch00	0	100000	CHH	8.38455012897976	9686	105836	a17_1
SL4.0ch00	100000	200000	CG	83.4796034454738	10273	2033	a17_1
SL4.0ch00	100000	200000	CHG	53.1110316467012	5941	5245	a17_1
SL4.0ch00	100000	200000	CHH	8.44714338827612	10224	110811	a17_1
SL4.0ch00	200000	300000	CG	84.932779877331	13709	2432	a17_1
SL4.0ch00	200000	300000	CHG	60.7242339832869	9374	6063	a17_1
SL4.0ch00	200000	300000	CHH	9.62710010029093	11615	109034	a17_1
SL4.0ch00	300000	400000	CG	84.9226160758862	13608	2416	a17_1
SL4.0ch00	300000	400000	CHG	61.9201583635764	9384	5771	a17_1
SL4.0ch00	300000	400000	CHH	10.2317657945655	9730	85366	a17_1
SL4.0ch00	400000	500000	CG	87.5288037041025	81288	11582	a17_1
SL4.0ch00	400000	500000	CHG	55.3254145013611	22357	18053	a17_1
SL4.0ch00	400000	500000	CHH	13.589242519929	22809	145037	a17_1
SL4.0ch00	500000	600000	CG	86.9946903807942	106826	15970	a17_1
SL4.0ch00	500000	600000	CHG	53.988522783415	28412	24214	a17_1
SL4.0ch00	500000	600000	CHH	13.6355054609989	28889	182977	a17_1
SL4.0ch00	600000	700000	CG	86.9251094372363	110208	16577	a17_1
SL4.0ch00	600000	700000	CHG	54.4580056052798	30118	25187	a17_1
SL4.0ch00	600000	700000	CHH	14.0286548516331	30990	189915	a17_1
SL4.0ch00	700000	800000	CG	86.7495174562324	51236	7826	a17_1
SL4.0ch00	700000	800000	CHG	59.129638757834	16794	11608	a17_1
SL4.0ch00	700000	800000	CHH	14.1876741183665	18792	113661	a17_1
SL4.0ch00	800000	900000	CG	86.4647305783977	24920	3901	a17_1
SL4.0ch00	800000	900000	CHG	67.5619582468563	11068	5314	a17_1
SL4.0ch00	800000	900000	CHH	13.8951152463523	13142	81438	a17_1
SL4.0ch00	900000	1000000	CG	86.4007727291021	21468	3379	a17_1
SL4.0ch00	900000	1000000	CHG	67.5701483766711	9199	4415	a17_1
SL4.0ch00	900000	1000000	CHH	13.6702821486069	11633	73464	a17_1
SL4.0ch00	1000000	1100000	CG	85.7787131689717	34236	5676	a17_1
SL4.0ch00	1000000	1100000	CHG	68.1563429017009	13985	6534	a17_1
SL4.0ch00	1000000	1100000	CHH	14.489114139823	19040	112369	a17_1
SL4.0ch00	1100000	1200000	CG	83.6072411779428	10022	1965	a17_1
SL4.0ch00	1100000	1200000	CHG	56.8425681618294	6463	4907	a17_1
SL4.0ch00	1100000	1200000	CHH	8.80829015544041	8687	89936	a17_1
SL4.0ch00	1200000	1300000	CG	83.2624990340777	10775	2166	a17_1
SL4.0ch00	1200000	1300000	CHG	53.1066489865505	5607	4951	a17_1
SL4.0ch00	1200000	1300000	CHH	8.30229366790825	9317	102905	a17_1
SL4.0ch00	1300000	1400000	CG	56.4054009550469	6851	5295	a17_1
