seqnames	start	end	width	strand	direction	context	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	pValue	regionType	chr	comparison
SL4.0ch00	1686420	1686537	118	*	-1	CG	31	40	0.775	2	48	0.04166666666666666	4	1.4993191686114813e-11	loss	ch00	NTS
SL4.0ch00	1691216	1691268	53	*	-1	CG	28	34	0.8235294117647058	6	54	0.1111111111111111	4	1.7122334154414948e-10	loss	ch00	NTS
SL4.0ch00	2325643	2325758	116	*	-1	CG	20	20	1	0	35	0	4	1.5300325640054525e-12	loss	ch00	NTS
SL4.0ch01	76340	76416	77	*	-1	CG	28	45	0.6222222222222222	4	59	0.06779661016949153	6	5.521555247398105e-9	loss	ch01	NTS
SL4.0ch01	79226	79328	103	*	1	CG	0	34	0	56	69	0.8115942028985508	4	1.1894742682403772e-13	gain	ch01	NTS
SL4.0ch01	81887	82115	229	*	1	CG	0	70	0	55	86	0.6395348837209303	8	2.0814902017838573e-15	gain	ch01	NTS
SL4.0ch01	82792	82907	116	*	-1	CG	25	26	0.9615384615384616	2	43	0.04651162790697674	4	6.145913656830724e-13	loss	ch01	NTS
SL4.0ch01	83245	83482	238	*	-1	CG	77	79	0.9746835443037974	23	84	0.27380952380952384	8	1.6440674005345274e-18	loss	ch01	NTS
SL4.0ch01	100546	100633	88	*	-1	CG	19	27	0.7037037037037037	9	84	0.10714285714285714	4	2.615551924145016e-9	loss	ch01	NTS
SL4.0ch01	120957	121097	141	*	-1	CG	43	52	0.8269230769230769	13	103	0.1262135922330097	6	2.689883821880733e-16	loss	ch01	NTS
SL4.0ch01	140699	140845	147	*	-1	CG	66	67	0.9850746268656716	16	102	0.1568627450980392	6	5.3706888858034765e-24	loss	ch01	NTS
SL4.0ch01	152518	152612	95	*	1	CG	0	46	0	30	35	0.8571428571428571	4	4.3856042011000074e-14	gain	ch01	NTS
SL4.0ch01	174834	174925	92	*	-1	CG	32	32	1	5	37	0.13513513513513514	4	7.358926532668049e-12	loss	ch01	NTS
SL4.0ch01	176321	176453	133	*	-1	CG	21	22	0.9545454545454546	7	29	0.2413793103448276	4	7.957850316811035e-7	loss	ch01	NTS
SL4.0ch01	177152	177248	97	*	1	CG	9	31	0.2903225806451613	42	45	0.9333333333333332	4	1.640061297776672e-8	gain	ch01	NTS
SL4.0ch01	188688	188807	120	*	-1	CG	18	26	0.6923076923076923	0	38	0	4	6.150124537081828e-9	loss	ch01	NTS
SL4.0ch01	222357	222469	113	*	-1	CG	25	25	1	1	56	0.01785714285714285	4	6.71759797966867e-17	loss	ch01	NTS
SL4.0ch01	241879	241963	85	*	-1	CG	50	66	0.7575757575757576	7	67	0.1044776119402985	6	3.9357569408149633e-13	loss	ch01	NTS
SL4.0ch01	261180	261240	61	*	1	CG	10	55	0.18181818181818185	54	67	0.8059701492537313	6	5.55549827930921e-11	gain	ch01	NTS
SL4.0ch01	264306	264372	67	*	-1	CG	25	31	0.8064516129032258	0	30	0	4	8.79963966041589e-10	loss	ch01	NTS
SL4.0ch01	297601	297928	328	*	-1	CG	46	56	0.8214285714285714	4	69	0.05797101449275362	6	1.3079131711313962e-16	loss	ch01	NTS
SL4.0ch01	304308	304454	147	*	-1	CG	37	53	0.6981132075471698	0	39	0	4	1.1612091038017696e-10	loss	ch01	NTS
SL4.0ch01	368406	368578	173	*	-1	CG	34	55	0.6181818181818182	0	47	0	6	2.7785309647560565e-10	loss	ch01	NTS
SL4.0ch01	386665	386765	101	*	-1	CG	35	45	0.7777777777777778	5	49	0.1020408163265306	4	2.49198729161257e-10	loss	ch01	NTS
SL4.0ch01	418299	418381	83	*	-1	CG	25	26	0.9615384615384616	4	47	0.0851063829787234	4	2.785254096939313e-12	loss	ch01	NTS
SL4.0ch01	420404	420658	255	*	-1	CG	90	105	0.8571428571428571	29	89	0.3258426966292135	10	5.142449015209736e-13	loss	ch01	NTS
SL4.0ch01	451707	451766	60	*	-1	CG	39	43	0.9069767441860463	19	69	0.2753623188405797	8	4.913234959136057e-10	loss	ch01	NTS
SL4.0ch01	457022	457090	69	*	-1	CG	30	31	0.967741935483871	2	47	0.0425531914893617	4	8.690921704416367e-15	loss	ch01	NTS
SL4.0ch01	457961	458056	96	*	1	CG	1	28	0.03571428571428571	79	91	0.8681318681318682	6	4.839027335048787e-15	gain	ch01	NTS
SL4.0ch01	541050	541253	204	*	-1	CG	68	87	0.7816091954022989	3	119	0.02521008403361344	10	2.3660891175283788e-27	loss	ch01	NTS
SL4.0ch01	748757	748880	124	*	1	CG	12	96	0.125	104	117	0.8888888888888888	8	1.1109470017251114e-26	gain	ch01	NTS
SL4.0ch01	782553	782611	59	*	-1	CG	12	17	0.7058823529411765	6	53	0.11320754716981132	4	2.0147476707422705e-6	loss	ch01	NTS
SL4.0ch01	806386	806454	69	*	1	CG	2	56	0.03571428571428571	28	35	0.8	4	6.2149351813239105e-13	gain	ch01	NTS
SL4.0ch01	837083	837206	124	*	1	CG	10	49	0.20408163265306123	103	112	0.9196428571428572	8	2.5500001162866774e-18	gain	ch01	NTS
SL4.0ch01	873498	873560	63	*	-1	CG	27	40	0.675	4	54	0.07407407407407407	4	4.06454891959237e-9	loss	ch01	NTS
SL4.0ch01	1034683	1034865	183	*	-1	CG	22	38	0.5789473684210527	1	72	0.01388888888888888	6	3.7874567729652607e-11	loss	ch01	NTS
SL4.0ch01	1040592	1040744	153	*	-1	CG	36	46	0.782608695652174	4	67	0.05970149253731343	6	5.036003519465963e-14	loss	ch01	NTS
SL4.0ch01	1059118	1059167	50	*	-1	CG	25	32	0.78125	2	36	0.05555555555555555	4	4.611188472865118e-9	loss	ch01	NTS
SL4.0ch01	1074073	1074172	100	*	1	CG	0	57	0	45	50	0.9	4	2.2318692027479007e-19	gain	ch01	NTS
SL4.0ch01	1075161	1075305	145	*	-1	CG	84	95	0.8842105263157894	11	106	0.10377358490566038	10	2.4339705772825503e-26	loss	ch01	NTS
SL4.0ch01	1112689	1112772	84	*	1	CG	16	32	0.5	42	42	1	4	4.844369202694159e-7	gain	ch01	NTS
SL4.0ch01	1221470	1221586	117	*	-1	CG	22	22	1	12	50	0.24	4	1.0459307371342136e-8	loss	ch01	NTS
SL4.0ch01	1232390	1232467	78	*	-1	CG	32	32	1	7	32	0.21875	4	8.75094289624875e-10	loss	ch01	NTS
SL4.0ch01	1247964	1248023	60	*	-1	CG	26	35	0.7428571428571429	0	25	0	4	3.345130802256154e-8	loss	ch01	NTS
SL4.0ch01	1251169	1251238	70	*	-1	CG	36	37	0.972972972972973	0	31	0	4	2.2151962094715893e-14	loss	ch01	NTS
SL4.0ch01	1252340	1252410	71	*	-1	CG	33	54	0.6111111111111112	0	67	0	6	8.397305152528069e-13	loss	ch01	NTS
